R,index,pNoInt
2531,xwindow_0-0_h_0-2_Bz,-0.7251733439799998
2531,xwindow_0-0_sl_B,0.28755923179
2531,xwindow_0-0_sl_Bx,0.0572922597199
2531,xwindow_0-0_sl_Bxz,-0.004514242758095
2531,xwindow_0-0_sl_Bz,-0.5216013896299999
2531,xwindow_0-1_h_0--1_B,0.03724950399
2531,xwindow_0-1_h_0--1_Bx,0.32364892616999996
2531,xwindow_0-1_h_0--1_Bxz,-0.45018048970999996
2531,xwindow_0-1_h_0--1_Bz,0.024218904384120003
2531,xwindow_0-1_h_0--2_B,-0.01814417530973
2531,xwindow_0-1_h_0--2_Bx,0.33785429717000004
2531,xwindow_0-1_h_0--2_Bxz,-0.79115108733
2531,xwindow_0-1_h_0--2_Bz,0.018132033234
2531,xwindow_0-1_h_0-0_B,-0.03755566228586
2531,xwindow_0-1_h_0-0_Bx,0.25461197658
2531,xwindow_0-1_h_0-0_Bxz,-0.36612371028999996
2531,xwindow_0-1_h_0-0_Bz,-0.0022242916249399993
2531,xwindow_0-1_h_0-1_B,0.02222196917015
2531,xwindow_0-1_h_0-1_Bx,0.27405541676
2531,xwindow_0-1_h_0-1_Bxz,-0.35342657295999996
2531,xwindow_0-1_h_0-1_Bz,-0.022026232867309998
2531,xwindow_0-1_h_0-2_B,0.0035821655914739996
2531,xwindow_0-1_h_0-2_Bx,0.1693944726
2531,xwindow_0-1_h_0-2_Bxz,-0.39202152964
2531,xwindow_0-1_h_0-2_Bz,-0.0576220290854
2531,xwindow_0-1_sl_B,0.03416917025377
2531,xwindow_0-1_sl_Bx,0.42248992951
2531,xwindow_0-1_sl_Bxz,-0.31104363939
2531,xwindow_0-1_sl_Bz,0.0157219130686
2531,zwindow_0-0_h_0--1_B,0.25878193587
2531,zwindow_0-0_h_0--1_Bx,-0.44701660956999995
2531,zwindow_0-0_h_0--1_Bxz,0.078922318364
2531,zwindow_0-0_h_0--1_Bz,0.19996090609000003
2531,zwindow_0-0_h_0--2_B,0.71358475507
2531,zwindow_0-0_h_0--2_Bx,-0.56139024494
2531,zwindow_0-0_h_0--2_Bxz,-0.0118417774203
2531,zwindow_0-0_h_0--2_Bz,0.24265086860999996
2531,zwindow_0-0_h_0-0_B,0.29761701132
2531,zwindow_0-0_h_0-0_Bx,-0.25151802704000004
2531,zwindow_0-0_h_0-0_Bxz,0.06003689261500001
2531,zwindow_0-0_h_0-0_Bz,0.22343909576999998
2531,zwindow_0-0_h_0-1_B,0.50796237857
2531,zwindow_0-0_h_0-1_Bx,-0.31283382323
2531,zwindow_0-0_h_0-1_Bxz,0.024483192456809997
2531,zwindow_0-0_h_0-1_Bz,0.25028362121000003
2531,zwindow_0-0_h_0-2_B,0.5376999527399999
2531,zwindow_0-0_h_0-2_Bx,-0.35344537918
2531,zwindow_0-0_h_0-2_Bxz,-0.07055707384000001
2531,zwindow_0-0_h_0-2_Bz,0.26666501672
2531,zwindow_0-0_sl_B,0.36565484109
2531,zwindow_0-0_sl_Bx,-0.44396998554
2531,zwindow_0-0_sl_Bxz,0.028454884630000007
2531,zwindow_0-0_sl_Bz,0.19597060603
2531,zwindow_0-1_h_0--1_B,-0.20477058048999996
2531,zwindow_0-1_h_0--1_Bx,0.48991422983
2531,zwindow_0-1_h_0--1_Bxz,0.09476105408
2531,zwindow_0-1_h_0--1_Bz,0.13328161779000003
2531,zwindow_0-1_h_0--2_B,-0.45914266079
2531,zwindow_0-1_h_0--2_Bx,0.6005479747
2531,zwindow_0-1_h_0--2_Bxz,0.25212758825000003
2531,zwindow_0-1_h_0--2_Bz,0.11745808842800001
2531,zwindow_0-1_h_0-0_B,-0.28243950426000003
2531,zwindow_0-1_h_0-0_Bx,0.53378730951
2531,zwindow_0-1_h_0-0_Bxz,0.18421172861999996
2531,zwindow_0-1_h_0-0_Bz,0.17026399959000005
2531,zwindow_0-1_h_0-1_B,-0.6087546384400001
2531,zwindow_0-1_h_0-1_Bx,0.35405574586000005
2531,zwindow_0-1_h_0-1_Bxz,0.17316429733999997
2531,zwindow_0-1_h_0-1_Bz,0.130945989919
2531,zwindow_0-1_h_0-2_B,-0.51509174382
2531,zwindow_0-1_h_0-2_Bx,0.43892488449000006
2531,zwindow_0-1_h_0-2_Bxz,0.18512979029000004
2531,zwindow_0-1_h_0-2_Bz,0.082840274562
2531,zwindow_0-1_sl_B,-0.42295400829999996
2531,zwindow_0-1_sl_Bx,0.44878687025
2531,zwindow_0-1_sl_Bxz,0.15198877038
2531,zwindow_0-1_sl_Bz,0.14554125759
2531,zwindow_1-0_h_0--1_B,0.26004150388999997
2531,zwindow_1-0_h_0--1_Bx,-0.093394602155
2531,zwindow_1-0_h_0--1_Bxz,-0.084093982577
2531,zwindow_1-0_h_0--1_Bz,0.30367146224
2531,zwindow_1-0_h_0--2_B,0.54589563129
2531,zwindow_1-0_h_0--2_Bx,-0.17484994987299998
2531,zwindow_1-0_h_0--2_Bxz,-0.21767257156000003
2531,zwindow_1-0_h_0--2_Bz,0.39859869033999984
2531,zwindow_1-0_h_0-0_B,0.21713092538
2531,zwindow_1-0_h_0-0_Bx,-0.024707819212289997
2531,zwindow_1-0_h_0-0_Bxz,-0.050949801488000004
2531,zwindow_1-0_h_0-0_Bz,0.45448991475
2531,zwindow_1-0_h_0-1_B,0.38154649766999993
2531,zwindow_1-0_h_0-1_Bx,-0.018710727685069997
2531,zwindow_1-0_h_0-1_Bxz,-0.082029853236
2531,zwindow_1-0_h_0-1_Bz,0.43922368616
2531,zwindow_1-0_h_0-2_B,0.42645798504
2531,zwindow_1-0_h_0-2_Bx,-0.056607378983
2531,zwindow_1-0_h_0-2_Bxz,-0.18872461350999997
2531,zwindow_1-0_h_0-2_Bz,0.42510535597
2531,zwindow_1-0_sl_B,0.31637603843
2531,zwindow_1-0_sl_Bx,-0.08246778179300002
