runs,xPosInd,zPosInd,uStar,z0,disp,id,A,C,WS,delT,xPos,zPos,blockType,uStarNorm,uStar_2,z0_2,u10_2,uScaling
2530,0.0,0.0,0.2681086144356447,1.0119795620354741,0.0,0.0,45.0,2.0,2.0,0.0,0.0,0.0,Bxz,0.13405430721782235,0.24968498260054747,0.366,2.0143531082299058,1.0071765541149529
2530,0.0,1.0,0.3327125332192745,1.115022396498944,0.12789029910573027,3.0,45.0,2.0,2.0,0.0,0.0,1.0,Bxz,0.16635626660963726,0.3077534892600083,0.366,2.4828253233446063,1.2414126616723031
2530,0.0,2.0,0.35810901855807287,1.25316934311196,0.0,2.0,45.0,2.0,2.0,0.0,0.0,2.0,Bx,0.17905450927903643,0.3285475636258676,0.366,2.650583143199731,1.3252915715998654
2530,0.0,3.0,0.2883989357448822,1.1474260964589884,0.0,1.0,45.0,2.0,2.0,0.0,0.0,3.0,Bx,0.1441994678724411,0.2662297588469965,0.366,2.147829383454357,1.0739146917271785
2530,1.0,0.0,0.3131487741899409,1.3693744512048136,0.0,1.0,45.0,2.0,2.0,0.0,1.0,0.0,Bxz,0.15657438709497046,0.2855208557043713,0.366,2.3034618148128136,1.1517309074064068
2530,1.0,1.0,0.2777599657245821,1.1207045135013334,0.0,0.0,45.0,2.0,2.0,0.0,1.0,1.0,Bxz,0.13887998286229106,0.2568318898229723,0.366,2.072011340726627,1.0360056703633136
2530,1.0,2.0,0.3198389436876897,1.0505132589193173,0.0,3.0,45.0,2.0,2.0,0.0,1.0,2.0,Bx,0.15991947184384486,0.2970823911277387,0.366,2.3967354052923366,1.1983677026461683
2530,1.0,3.0,0.3553496046442084,1.2069829692410385,0.0,2.0,45.0,2.0,2.0,0.0,1.0,3.0,Bx,0.1776748023221042,0.3268740414206331,0.366,2.6370818720351807,1.3185409360175904
2530,2.0,0.0,0.3448196166265014,1.1476802951869516,0.0,2.0,45.0,2.0,2.0,0.0,2.0,0.0,Bz,0.1724098083132507,0.3183084559169644,0.366,2.567978341644938,1.283989170822469
2530,2.0,1.0,0.2837833193420847,1.1266743904396601,0.0,1.0,45.0,2.0,2.0,0.0,2.0,1.0,Bz,0.14189165967104236,0.262303841279655,0.366,2.1161567366973815,1.0580783683486907
